ID Loja,Loja,Bairro,ID Produto,Produto,Categoria,Subcategoria,Imagem,Custo Unit,Preço Unit,Saldo_Atual,Unidades_Vendidas_Janela,Venda_Media_Diaria,Estoque_Minimo_Rede,Status_Estoque_Rede,Qtd_Em_Falta_Rede,Indice_Cobertura_Minimo_Rede,Nivel_Criticidade_Rede,Custo_Reposicao_Estimado_Rede,Valor_Venda_Gap_Reposicao_Rede,Margem_Potencial_Gap_Rede,Faturamento_Potencial_Perdido_Rede,Lucro_Potencial_Perdido_Rede,Janela_Demanda_Dias,Receita_Media_Diaria_Local,Cobertura_Dias_Local,Deficit_Local_Para_Zero,Margem_Unitaria,Custo_Deficit_Local,Valor_Venda_Deficit_Local,Margem_Deficit_Local,Status_Local,Estoque Mínimo,Status_Estoque,Qtd_Em_Falta,Faturamento_Potencial_Perdido,Lucro_Potencial_Perdido,Escopo_Metricas_Globais
3,Shopping da Gávea,Gávea - RJ,8,CALÇA MASCULINA 500,Roupas,Calças,https://decathlonpro.vteximg.com.br/arquivos/ids/2304670-1000-1000/trousers500-slim-zip-gym-d-xs---w28-l331.jpg?v=636887017655970000,38.9900,129.9900,-50.0000,53.0000,0.5889,24.0000,Abaixo do Mínimo,1.0000,0.9583,ATENÇÃO,38.9900,129.9900,91.0000,129.9900,91.0000,90,76.5497,0.0000,50.0000,91.0000,1949.5000,6499.5000,4550.0000,RUPTURA LOCAL,24.0000,Abaixo do Mínimo,1.0000,129.9900,91.0000,REDE_NAO_SOMAR
5,Shopping Tijuca,Tijuca - RJ,10,CAMISETA FITNESS MASCULINA FST500 VERDE CAQUI,Roupas,Camisetas,https://decathlonpro.vteximg.com.br/arquivos/ids/2365408-1000-1000/camiseta-fitness-masculina-cardio-training-linha-fst500-tam-p-cor-verde-caqui-domyos1.jpg?v=636970038954430000,23.9900,79.9900,-1.0000,79.0000,0.8778,168.0000,Abaixo do Mínimo,1.0000,0.9940,ATENÇÃO,23.9900,79.9900,56.0000,79.9900,56.0000,90,70.2134,0.0000,1.0000,56.0000,23.9900,79.9900,56.0000,RUPTURA LOCAL,168.0000,Abaixo do Mínimo,1.0000,79.9900,56.0000,REDE_NAO_SOMAR
5,Shopping Tijuca,Tijuca - RJ,12,CAMISETA FITNESS MASCULINA FST500 AZUL/AZUL MARINHO,Roupas,Camisetas,https://decathlonpro.vteximg.com.br/arquivos/ids/2365346-1000-1000/fts500-print-m-t-shirt-deb-s1.jpg?v=636970028665470000,17.9900,59.9900,-51.0000,97.0000,1.0778,118.0000,Abaixo do Mínimo,9.0000,0.9237,ATENÇÃO,161.9100,539.9100,378.0000,539.9100,378.0000,90,64.6559,0.0000,51.0000,42.0000,917.4900,3059.4900,2142.0000,RUPTURA LOCAL,118.0000,Abaixo do Mínimo,9.0000,539.9100,378.0000,REDE_NAO_SOMAR
5,Shopping Tijuca,Tijuca - RJ,23,TÊNIS FITNESS MASCULINO PRETO/CINZA LINHA 500,Calçados,Tênis Corrida,https://decathlonpro.vteximg.com.br/arquivos/ids/2184518-1000-1000/shoes-fitness-500-m-black--uk-7---eu-411.jpg?v=636733698622870000,26.9900,89.9900,-2.0000,51.0000,0.5667,63.0000,Abaixo do Mínimo,4.0000,0.9365,ATENÇÃO,107.9600,359.9600,252.0000,359.9600,252.0000,90,50.9943,0.0000,2.0000,63.0000,53.9800,179.9800,126.0000,RUPTURA LOCAL,63.0000,Abaixo do Mínimo,4.0000,359.9600,252.0000,REDE_NAO_SOMAR
4,Barra Shopping,Barra da Tijuca - RJ,8,CALÇA MASCULINA 500,Roupas,Calças,https://decathlonpro.vteximg.com.br/arquivos/ids/2304670-1000-1000/trousers500-slim-zip-gym-d-xs---w28-l331.jpg?v=636887017655970000,38.9900,129.9900,-26.0000,35.0000,0.3889,24.0000,Abaixo do Mínimo,1.0000,0.9583,ATENÇÃO,38.9900,129.9900,91.0000,129.9900,91.0000,90,50.5517,0.0000,26.0000,91.0000,1013.7400,3379.7400,2366.0000,RUPTURA LOCAL,24.0000,Abaixo do Mínimo,1.0000,129.9900,91.0000,REDE_NAO_SOMAR
4,Barra Shopping,Barra da Tijuca - RJ,14,CAMISETA FITNESS MASCULINA FST120 ESTAMPADO CAQUI,Roupas,Camisetas,https://decathlonpro.vteximg.com.br/arquivos/ids/2364246-1000-1000/camiseta-fitness-cardio-masculina-linha1.jpg?v=636963945163900000,14.9900,49.9900,-49.0000,70.0000,0.7778,23.0000,Abaixo do Mínimo,1.0000,0.9565,ATENÇÃO,14.9900,49.9900,35.0000,49.9900,35.0000,90,38.8811,0.0000,49.0000,35.0000,734.5100,2449.5100,1715.0000,RUPTURA LOCAL,23.0000,Abaixo do Mínimo,1.0000,49.9900,35.0000,REDE_NAO_SOMAR
3,Shopping da Gávea,Gávea - RJ,14,CAMISETA FITNESS MASCULINA FST120 ESTAMPADO CAQUI,Roupas,Camisetas,https://decathlonpro.vteximg.com.br/arquivos/ids/2364246-1000-1000/camiseta-fitness-cardio-masculina-linha1.jpg?v=636963945163900000,14.9900,49.9900,-49.0000,68.0000,0.7556,23.0000,Abaixo do Mínimo,1.0000,0.9565,ATENÇÃO,14.9900,49.9900,35.0000,49.9900,35.0000,90,37.7702,0.0000,49.0000,35.0000,734.5100,2449.5100,1715.0000,RUPTURA LOCAL,23.0000,Abaixo do Mínimo,1.0000,49.9900,35.0000,REDE_NAO_SOMAR
4,Barra Shopping,Barra da Tijuca - RJ,22,TÊNIS FITNESS MASCULINO VERMELHO/PRETO LINHA 500,Calçados,Tênis Corrida,https://decathlonpro.vteximg.com.br/arquivos/ids/2365214-1000-1000/tenis-fitness-cardio-masculino-linha-501.jpg?v=636969931556270000,26.9900,89.9900,-8.0000,32.0000,0.3556,38.0000,Abaixo do Mínimo,2.0000,0.9474,ATENÇÃO,53.9800,179.9800,126.0000,179.9800,126.0000,90,31.9964,0.0000,8.0000,63.0000,215.9200,719.9200,504.0000,RUPTURA LOCAL,38.0000,Abaixo do Mínimo,2.0000,179.9800,126.0000,REDE_NAO_SOMAR
4,Barra Shopping,Barra da Tijuca - RJ,12,CAMISETA FITNESS MASCULINA FST500 AZUL/AZUL MARINHO,Roupas,Camisetas,https://decathlonpro.vteximg.com.br/arquivos/ids/2365346-1000-1000/fts500-print-m-t-shirt-deb-s1.jpg?v=636970028665470000,17.9900,59.9900,-34.0000,26.0000,0.2889,118.0000,Abaixo do Mínimo,9.0000,0.9237,ATENÇÃO,161.9100,539.9100,378.0000,539.9100,378.0000,90,17.3304,0.0000,34.0000,42.0000,611.6600,2039.6600,1428.0000,RUPTURA LOCAL,118.0000,Abaixo do Mínimo,9.0000,539.9100,378.0000,REDE_NAO_SOMAR
1,Botafogo Praia Shopping,Botagogo - RJ,11,CAMISETA FITNESS MASCULINA FST500 PRETO CINZENTO,Roupas,Camisetas,https://decathlonpro.vteximg.com.br/arquivos/ids/2365485-1000-1000/camiseta-fitness-masculina-cardio-training-linha-fst500-tam-p-cor-preto-cinzento-domyos1.jpg?v=636970042592470000,23.9900,79.9900,-38.0000,164.0000,1.8222,171.0000,Estoque Seguro,0.0000,1.1111,SAUDÁVEL,0.0000,0.0000,0.0000,0.0000,0.0000,90,145.7596,0.0000,38.0000,56.0000,911.6200,3039.6200,2128.0000,RUPTURA LOCAL,171.0000,Estoque Seguro,0.0000,0.0000,0.0000,REDE_NAO_SOMAR
1,Botafogo Praia Shopping,Botagogo - RJ,18,REGATA MACHÃO MASCULINA FTA 500 VERDE,Roupas,Regatas,https://decathlonpro.vteximg.com.br/arquivos/ids/2368026-1000-1000/fta-500-fw19-m-tank-dgr-m1.jpg?v=636971743664130000,20.9900,69.9900,-63.0000,175.0000,1.9444,43.0000,Estoque Seguro,0.0000,1.0000,SAUDÁVEL,0.0000,0.0000,0.0000,0.0000,0.0000,90,136.0917,0.0000,63.0000,49.0000,1322.3700,4409.3700,3087.0000,RUPTURA LOCAL,43.0000,Estoque Seguro,0.0000,0.0000,0.0000,REDE_NAO_SOMAR
2,Norte Shopping,Cachambi - RJ,9,CALÇA DE FITNESS ENERGY DOMYOS MASCULINA,Roupas,Calças,https://decathlonpro.vteximg.com.br/arquivos/ids/229310-500-500/energy-pant-2017-black-w41-l341.jpg?v=636550426313670000,26.9900,89.9900,-25.0000,136.0000,1.5111,26.0000,Estoque Seguro,0.0000,1.0000,SAUDÁVEL,0.0000,0.0000,0.0000,0.0000,0.0000,90,135.9849,0.0000,25.0000,63.0000,674.7500,2249.7500,1575.0000,RUPTURA LOCAL,26.0000,Estoque Seguro,0.0000,0.0000,0.0000,REDE_NAO_SOMAR
5,Shopping Tijuca,Tijuca - RJ,7,CALÇA SLIM 500,Roupas,Calças,https://decathlonpro.vteximg.com.br/arquivos/ids/2435259-1000-1000/calcas-slim-para-ginastica-e-pilates-homem-500-com-fecho-preto-trousers-500-slim-zip-gym-3xl---w44-l341.jpg?v=637086545572330000,38.9900,129.9900,-47.0000,94.0000,1.0444,263.0000,Estoque Seguro,0.0000,1.0000,SAUDÁVEL,0.0000,0.0000,0.0000,0.0000,0.0000,90,135.7673,0.0000,47.0000,91.0000,1832.5300,6109.5300,4277.0000,RUPTURA LOCAL,263.0000,Estoque Seguro,0.0000,0.0000,0.0000,REDE_NAO_SOMAR
2,Norte Shopping,Cachambi - RJ,6,BERMUDA FITNESS MASCULINA FTS500 PRETO/VERMELHO,Roupas,Bermudas,https://decathlonpro.vteximg.com.br/arquivos/ids/2368441-1000-1000/fst500-m-shorts-red-s1.jpg?v=636972376884200000,23.9900,79.9900,-31.0000,146.0000,1.6222,16.0000,Estoque Seguro,0.0000,1.1250,SAUDÁVEL,0.0000,0.0000,0.0000,0.0000,0.0000,90,129.7616,0.0000,31.0000,56.0000,743.6900,2479.6900,1736.0000,RUPTURA LOCAL,16.0000,Estoque Seguro,0.0000,0.0000,0.0000,REDE_NAO_SOMAR
2,Norte Shopping,Cachambi - RJ,21,REGATA MACHÃO MASCULINA FTA 500 PRETA,Roupas,Regatas,https://decathlonpro.vteximg.com.br/arquivos/ids/2367893-1000-1000/fta-500-fw19-m-tank-blk-xl1.jpg?v=636971742130070000,20.9900,69.9900,-39.0000,157.0000,1.7444,83.0000,Estoque Seguro,0.0000,1.1205,SAUDÁVEL,0.0000,0.0000,0.0000,0.0000,0.0000,90,122.0937,0.0000,39.0000,49.0000,818.6100,2729.6100,1911.0000,RUPTURA LOCAL,83.0000,Estoque Seguro,0.0000,0.0000,0.0000,REDE_NAO_SOMAR
1,Botafogo Praia Shopping,Botagogo - RJ,21,REGATA MACHÃO MASCULINA FTA 500 PRETA,Roupas,Regatas,https://decathlonpro.vteximg.com.br/arquivos/ids/2367893-1000-1000/fta-500-fw19-m-tank-blk-xl1.jpg?v=636971742130070000,20.9900,69.9900,0.0000,120.0000,1.3333,83.0000,Estoque Seguro,0.0000,1.1205,SAUDÁVEL,0.0000,0.0000,0.0000,0.0000,0.0000,90,93.3200,0.0000,-0.0000,49.0000,-0.0000,-0.0000,-0.0000,RUPTURA LOCAL,83.0000,Estoque Seguro,0.0000,0.0000,0.0000,REDE_NAO_SOMAR
5,Shopping Tijuca,Tijuca - RJ,20,REGATA FITNESS MASCULINA 2019 - LINHA 500,Roupas,Regatas,https://decathlonpro.vteximg.com.br/arquivos/ids/2310562-1000-1000/boxing-tank-500-m-m-tank-blk-l1.jpg?v=636891237119600000,17.9900,59.9900,-134.0000,138.0000,1.5333,140.0000,Estoque Seguro,0.0000,1.0214,SAUDÁVEL,0.0000,0.0000,0.0000,0.0000,0.0000,90,91.9847,0.0000,134.0000,42.0000,2410.6600,8038.6600,5628.0000,RUPTURA LOCAL,140.0000,Estoque Seguro,0.0000,0.0000,0.0000,REDE_NAO_SOMAR
5,Shopping Tijuca,Tijuca - RJ,13,CAMISETA FITNESS MASCULINA FST120 BORDÔ ESTAMPADO,Roupas,Camisetas,https://decathlonpro.vteximg.com.br/arquivos/ids/2367688-1000-1000/fts-120-m-t-shirt-bdx-s1.jpg?v=636971625768530000,17.9900,59.9900,-2.0000,117.0000,1.3000,72.0000,Estoque Seguro,0.0000,1.1111,SAUDÁVEL,0.0000,0.0000,0.0000,0.0000,0.0000,90,77.9870,0.0000,2.0000,42.0000,35.9800,119.9800,84.0000,RUPTURA LOCAL,72.0000,Estoque Seguro,0.0000,0.0000,0.0000,REDE_NAO_SOMAR
2,Norte Shopping,Cachambi - RJ,4,BERMUDA FITNESS MASCULINA FTS500 PRETO/CINZA,Roupas,Bermudas,https://decathlonpro.vteximg.com.br/arquivos/ids/2368219-1000-1000/fst500-m-shorts-gry-s1.jpg?v=636972372737030000,26.9900,89.9900,-28.0000,77.0000,0.8556,133.0000,Estoque Seguro,0.0000,1.0226,SAUDÁVEL,0.0000,0.0000,0.0000,0.0000,0.0000,90,76.9914,0.0000,28.0000,63.0000,755.7200,2519.7200,1764.0000,RUPTURA LOCAL,133.0000,Estoque Seguro,0.0000,0.0000,0.0000,REDE_NAO_SOMAR
3,Shopping da Gávea,Gávea - RJ,9,CALÇA DE FITNESS ENERGY DOMYOS MASCULINA,Roupas,Calças,https://decathlonpro.vteximg.com.br/arquivos/ids/229310-500-500/energy-pant-2017-black-w41-l341.jpg?v=636550426313670000,26.9900,89.9900,-99.0000,77.0000,0.8556,26.0000,Estoque Seguro,0.0000,1.0000,SAUDÁVEL,0.0000,0.0000,0.0000,0.0000,0.0000,90,76.9914,0.0000,99.0000,63.0000,2672.0100,8909.0100,6237.0000,RUPTURA LOCAL,26.0000,Estoque Seguro,0.0000,0.0000,0.0000,REDE_NAO_SOMAR
4,Barra Shopping,Barra da Tijuca - RJ,7,CALÇA SLIM 500,Roupas,Calças,https://decathlonpro.vteximg.com.br/arquivos/ids/2435259-1000-1000/calcas-slim-para-ginastica-e-pilates-homem-500-com-fecho-preto-trousers-500-slim-zip-gym-3xl---w44-l341.jpg?v=637086545572330000,38.9900,129.9900,-59.0000,53.0000,0.5889,263.0000,Estoque Seguro,0.0000,1.0000,SAUDÁVEL,0.0000,0.0000,0.0000,0.0000,0.0000,90,76.5497,0.0000,59.0000,91.0000,2300.4100,7669.4100,5369.0000,RUPTURA LOCAL,263.0000,Estoque Seguro,0.0000,0.0000,0.0000,REDE_NAO_SOMAR
2,Norte Shopping,Cachambi - RJ,18,REGATA MACHÃO MASCULINA FTA 500 VERDE,Roupas,Regatas,https://decathlonpro.vteximg.com.br/arquivos/ids/2368026-1000-1000/fta-500-fw19-m-tank-dgr-m1.jpg?v=636971743664130000,20.9900,69.9900,-15.0000,93.0000,1.0333,43.0000,Estoque Seguro,0.0000,1.0000,SAUDÁVEL,0.0000,0.0000,0.0000,0.0000,0.0000,90,72.3230,0.0000,15.0000,49.0000,314.8500,1049.8500,735.0000,RUPTURA LOCAL,43.0000,Estoque Seguro,0.0000,0.0000,0.0000,REDE_NAO_SOMAR
3,Shopping da Gávea,Gávea - RJ,11,CAMISETA FITNESS MASCULINA FST500 PRETO CINZENTO,Roupas,Camisetas,https://decathlonpro.vteximg.com.br/arquivos/ids/2365485-1000-1000/camiseta-fitness-masculina-cardio-training-linha-fst500-tam-p-cor-preto-cinzento-domyos1.jpg?v=636970042592470000,23.9900,79.9900,-28.0000,66.0000,0.7333,171.0000,Estoque Seguro,0.0000,1.1111,SAUDÁVEL,0.0000,0.0000,0.0000,0.0000,0.0000,90,58.6593,0.0000,28.0000,56.0000,671.7200,2239.7200,1568.0000,RUPTURA LOCAL,171.0000,Estoque Seguro,0.0000,0.0000,0.0000,REDE_NAO_SOMAR
2,Norte Shopping,Cachambi - RJ,13,CAMISETA FITNESS MASCULINA FST120 BORDÔ ESTAMPADO,Roupas,Camisetas,https://decathlonpro.vteximg.com.br/arquivos/ids/2367688-1000-1000/fts-120-m-t-shirt-bdx-s1.jpg?v=636971625768530000,17.9900,59.9900,-36.0000,88.0000,0.9778,72.0000,Estoque Seguro,0.0000,1.1111,SAUDÁVEL,0.0000,0.0000,0.0000,0.0000,0.0000,90,58.6569,0.0000,36.0000,42.0000,647.6400,2159.6400,1512.0000,RUPTURA LOCAL,72.0000,Estoque Seguro,0.0000,0.0000,0.0000,REDE_NAO_SOMAR
4,Barra Shopping,Barra da Tijuca - RJ,9,CALÇA DE FITNESS ENERGY DOMYOS MASCULINA,Roupas,Calças,https://decathlonpro.vteximg.com.br/arquivos/ids/229310-500-500/energy-pant-2017-black-w41-l341.jpg?v=636550426313670000,26.9900,89.9900,-5.0000,58.0000,0.6444,26.0000,Estoque Seguro,0.0000,1.0000,SAUDÁVEL,0.0000,0.0000,0.0000,0.0000,0.0000,90,57.9936,0.0000,5.0000,63.0000,134.9500,449.9500,315.0000,RUPTURA LOCAL,26.0000,Estoque Seguro,0.0000,0.0000,0.0000,REDE_NAO_SOMAR
5,Shopping Tijuca,Tijuca - RJ,6,BERMUDA FITNESS MASCULINA FTS500 PRETO/VERMELHO,Roupas,Bermudas,https://decathlonpro.vteximg.com.br/arquivos/ids/2368441-1000-1000/fst500-m-shorts-red-s1.jpg?v=636972376884200000,23.9900,79.9900,-21.0000,64.0000,0.7111,16.0000,Estoque Seguro,0.0000,1.1250,SAUDÁVEL,0.0000,0.0000,0.0000,0.0000,0.0000,90,56.8818,0.0000,21.0000,56.0000,503.7900,1679.7900,1176.0000,RUPTURA LOCAL,16.0000,Estoque Seguro,0.0000,0.0000,0.0000,REDE_NAO_SOMAR
3,Shopping da Gávea,Gávea - RJ,19,"REGATA ""MACHÃO"" FITNESS TECIDO LEVE 100 AZUL MARINHO",Roupas,Regatas,https://decathlonpro.vteximg.com.br/arquivos/ids/2301930-1000-1000/-regata-mar-creponada-mesh-120-masc-o-s1.jpg?v=636886171137030000,11.9900,39.9900,-50.0000,120.0000,1.3333,9.0000,Estoque Seguro,0.0000,1.0000,SAUDÁVEL,0.0000,0.0000,0.0000,0.0000,0.0000,90,53.3200,0.0000,50.0000,28.0000,599.5000,1999.5000,1400.0000,RUPTURA LOCAL,9.0000,Estoque Seguro,0.0000,0.0000,0.0000,REDE_NAO_SOMAR
3,Shopping da Gávea,Gávea - RJ,3,BERMUDA FITNESS MASCULINA FST 120 PRETO CLÁSSICO,Roupas,Bermudas,https://decathlonpro.vteximg.com.br/arquivos/ids/2367233-1000-1000/new-fst-120-m-shorts-black-s1.jpg?v=636970923292370000,17.9900,59.9900,-38.0000,76.0000,0.8444,52.0000,Estoque Seguro,0.0000,1.0192,SAUDÁVEL,0.0000,0.0000,0.0000,0.0000,0.0000,90,50.6582,0.0000,38.0000,42.0000,683.6200,2279.6200,1596.0000,RUPTURA LOCAL,52.0000,Estoque Seguro,0.0000,0.0000,0.0000,REDE_NAO_SOMAR
2,Norte Shopping,Cachambi - RJ,16,JAQUETA MASCULINA DE ACADEMIA FVE900,Roupas,Jaquetas,https://decathlonpro.vteximg.com.br/arquivos/ids/2272124-1000-1000/fve900-t2-m-jacket-blk-l1.jpg?v=636861791687630000,50.9900,169.9900,-28.0000,24.0000,0.2667,7.0000,Estoque Seguro,0.0000,1.0000,SAUDÁVEL,0.0000,0.0000,0.0000,0.0000,0.0000,90,45.3307,0.0000,28.0000,119.0000,1427.7200,4759.7200,3332.0000,RUPTURA LOCAL,7.0000,Estoque Seguro,0.0000,0.0000,0.0000,REDE_NAO_SOMAR
4,Barra Shopping,Barra da Tijuca - RJ,3,BERMUDA FITNESS MASCULINA FST 120 PRETO CLÁSSICO,Roupas,Bermudas,https://decathlonpro.vteximg.com.br/arquivos/ids/2367233-1000-1000/new-fst-120-m-shorts-black-s1.jpg?v=636970923292370000,17.9900,59.9900,-48.0000,57.0000,0.6333,52.0000,Estoque Seguro,0.0000,1.0192,SAUDÁVEL,0.0000,0.0000,0.0000,0.0000,0.0000,90,37.9937,0.0000,48.0000,42.0000,863.5200,2879.5200,2016.0000,RUPTURA LOCAL,52.0000,Estoque Seguro,0.0000,0.0000,0.0000,REDE_NAO_SOMAR
