ID Produto,Produto,Categoria,Subcategoria,Imagem,Custo Unit,Preço Unit,Estoque Mínimo,Saldo_Atual,Unidades_Vendidas_Janela,Venda_Media_Diaria,Janela_Demanda_Dias,Status_Estoque,Qtd_Em_Falta,Indice_Cobertura_Minimo,Nivel_Criticidade,Margem_Unitaria,Custo_Reposicao_Estimado,Valor_Venda_Gap_Reposicao,Margem_Potencial_Gap,Receita_Media_Diaria,Cobertura_Dias,Faturamento_Potencial_Perdido,Lucro_Potencial_Perdido
10,CAMISETA FITNESS MASCULINA FST500 VERDE CAQUI,Roupas,Camisetas,https://decathlonpro.vteximg.com.br/arquivos/ids/2365408-1000-1000/camiseta-fitness-masculina-cardio-training-linha-fst500-tam-p-cor-verde-caqui-domyos1.jpg?v=636970038954430000,23.9900,79.9900,168.0000,167.0000,467.0000,5.1889,90,Abaixo do Mínimo,1.0000,0.9940,ATENÇÃO,56.0000,23.9900,79.9900,56.0000,415.0592,32.1842,79.9900,56.0000
14,CAMISETA FITNESS MASCULINA FST120 ESTAMPADO CAQUI,Roupas,Camisetas,https://decathlonpro.vteximg.com.br/arquivos/ids/2364246-1000-1000/camiseta-fitness-cardio-masculina-linha1.jpg?v=636963945163900000,14.9900,49.9900,23.0000,22.0000,423.0000,4.7000,90,Abaixo do Mínimo,1.0000,0.9565,ATENÇÃO,35.0000,14.9900,49.9900,35.0000,234.9530,4.6809,49.9900,35.0000
7,CALÇA SLIM 500,Roupas,Calças,https://decathlonpro.vteximg.com.br/arquivos/ids/2435259-1000-1000/calcas-slim-para-ginastica-e-pilates-homem-500-com-fecho-preto-trousers-500-slim-zip-gym-3xl---w44-l341.jpg?v=637086545572330000,38.9900,129.9900,263.0000,263.0000,415.0000,4.6111,90,Estoque Seguro,0.0000,1.0000,SAUDÁVEL,91.0000,0.0000,0.0000,0.0000,599.3983,57.0361,0.0000,0.0000
9,CALÇA DE FITNESS ENERGY DOMYOS MASCULINA,Roupas,Calças,https://decathlonpro.vteximg.com.br/arquivos/ids/229310-500-500/energy-pant-2017-black-w41-l341.jpg?v=636550426313670000,26.9900,89.9900,26.0000,26.0000,454.0000,5.0444,90,Estoque Seguro,0.0000,1.0000,SAUDÁVEL,63.0000,0.0000,0.0000,0.0000,453.9496,5.1542,0.0000,0.0000
11,CAMISETA FITNESS MASCULINA FST500 PRETO CINZENTO,Roupas,Camisetas,https://decathlonpro.vteximg.com.br/arquivos/ids/2365485-1000-1000/camiseta-fitness-masculina-cardio-training-linha-fst500-tam-p-cor-preto-cinzento-domyos1.jpg?v=636970042592470000,23.9900,79.9900,171.0000,190.0000,501.0000,5.5667,90,Estoque Seguro,0.0000,1.1111,SAUDÁVEL,56.0000,0.0000,0.0000,0.0000,445.2777,34.1317,0.0000,0.0000
6,BERMUDA FITNESS MASCULINA FTS500 PRETO/VERMELHO,Roupas,Bermudas,https://decathlonpro.vteximg.com.br/arquivos/ids/2368441-1000-1000/fst500-m-shorts-red-s1.jpg?v=636972376884200000,23.9900,79.9900,16.0000,18.0000,495.0000,5.5000,90,Estoque Seguro,0.0000,1.1250,SAUDÁVEL,56.0000,0.0000,0.0000,0.0000,439.9450,3.2727,0.0000,0.0000
18,REGATA MACHÃO MASCULINA FTA 500 VERDE,Roupas,Regatas,https://decathlonpro.vteximg.com.br/arquivos/ids/2368026-1000-1000/fta-500-fw19-m-tank-dgr-m1.jpg?v=636971743664130000,20.9900,69.9900,43.0000,43.0000,516.0000,5.7333,90,Estoque Seguro,0.0000,1.0000,SAUDÁVEL,49.0000,0.0000,0.0000,0.0000,401.2760,7.5000,0.0000,0.0000
21,REGATA MACHÃO MASCULINA FTA 500 PRETA,Roupas,Regatas,https://decathlonpro.vteximg.com.br/arquivos/ids/2367893-1000-1000/fta-500-fw19-m-tank-blk-xl1.jpg?v=636971742130070000,20.9900,69.9900,83.0000,93.0000,491.0000,5.4556,90,Estoque Seguro,0.0000,1.1205,SAUDÁVEL,49.0000,0.0000,0.0000,0.0000,381.8343,17.0468,0.0000,0.0000
4,BERMUDA FITNESS MASCULINA FTS500 PRETO/CINZA,Roupas,Bermudas,https://decathlonpro.vteximg.com.br/arquivos/ids/2368219-1000-1000/fst500-m-shorts-gry-s1.jpg?v=636972372737030000,26.9900,89.9900,133.0000,136.0000,331.0000,3.6778,90,Estoque Seguro,0.0000,1.0226,SAUDÁVEL,63.0000,0.0000,0.0000,0.0000,330.9632,36.9789,0.0000,0.0000
3,BERMUDA FITNESS MASCULINA FST 120 PRETO CLÁSSICO,Roupas,Bermudas,https://decathlonpro.vteximg.com.br/arquivos/ids/2367233-1000-1000/new-fst-120-m-shorts-black-s1.jpg?v=636970923292370000,17.9900,59.9900,52.0000,53.0000,473.0000,5.2556,90,Estoque Seguro,0.0000,1.0192,SAUDÁVEL,42.0000,0.0000,0.0000,0.0000,315.2808,10.0846,0.0000,0.0000
20,REGATA FITNESS MASCULINA 2019 - LINHA 500,Roupas,Regatas,https://decathlonpro.vteximg.com.br/arquivos/ids/2310562-1000-1000/boxing-tank-500-m-m-tank-blk-l1.jpg?v=636891237119600000,17.9900,59.9900,140.0000,143.0000,468.0000,5.2000,90,Estoque Seguro,0.0000,1.0214,SAUDÁVEL,42.0000,0.0000,0.0000,0.0000,311.9480,27.5000,0.0000,0.0000
13,CAMISETA FITNESS MASCULINA FST120 BORDÔ ESTAMPADO,Roupas,Camisetas,https://decathlonpro.vteximg.com.br/arquivos/ids/2367688-1000-1000/fts-120-m-t-shirt-bdx-s1.jpg?v=636971625768530000,17.9900,59.9900,72.0000,80.0000,433.0000,4.8111,90,Estoque Seguro,0.0000,1.1111,SAUDÁVEL,42.0000,0.0000,0.0000,0.0000,288.6186,16.6282,0.0000,0.0000
19,"REGATA ""MACHÃO"" FITNESS TECIDO LEVE 100 AZUL MARINHO",Roupas,Regatas,https://decathlonpro.vteximg.com.br/arquivos/ids/2301930-1000-1000/-regata-mar-creponada-mesh-120-masc-o-s1.jpg?v=636886171137030000,11.9900,39.9900,9.0000,9.0000,507.0000,5.6333,90,Estoque Seguro,0.0000,1.0000,SAUDÁVEL,28.0000,0.0000,0.0000,0.0000,225.2770,1.5976,0.0000,0.0000
16,JAQUETA MASCULINA DE ACADEMIA FVE900,Roupas,Jaquetas,https://decathlonpro.vteximg.com.br/arquivos/ids/2272124-1000-1000/fve900-t2-m-jacket-blk-l1.jpg?v=636861791687630000,50.9900,169.9900,7.0000,7.0000,94.0000,1.0444,90,Estoque Seguro,0.0000,1.0000,SAUDÁVEL,119.0000,0.0000,0.0000,0.0000,177.5451,6.7021,0.0000,0.0000
15,JAQUETA FITNESS MASCULINA FVE100 AZUL MARINHO,Roupas,Jaquetas,https://decathlonpro.vteximg.com.br/arquivos/ids/2367427-1000-1000/jaqueta-fitness-cardio-masculino-linha1.jpg?v=636971530655430000,35.9900,119.9900,33.0000,35.0000,95.0000,1.0556,90,Estoque Seguro,0.0000,1.0606,SAUDÁVEL,84.0000,0.0000,0.0000,0.0000,126.6561,33.1579,0.0000,0.0000
28,MEIA DE CORRIDA KIPRUN THICK KALENJI,Calçados,Meias,https://decathlonpro.vteximg.com.br/arquivos/ids/317867-1000-1000/kiprun-socks-black-uk-85-11-eu-43-461.jpg?v=636553022801600000,7.4900,24.9900,212.0000,221.0000,434.0000,4.8222,90,Estoque Seguro,0.0000,1.0425,SAUDÁVEL,17.5000,0.0000,0.0000,0.0000,120.5073,45.8295,0.0000,0.0000
31,MALA ESPORTIVA 30L DOBRÁVEL TUBO PRETA,Acessórios,Bolsas,https://decathlonpro.vteximg.com.br/arquivos/ids/299416-1000-1000/fitness-bag-pocket-black-1.jpg?v=636552791841630000,14.9900,49.9900,17.0000,17.0000,201.0000,2.2333,90,Estoque Seguro,0.0000,1.0000,SAUDÁVEL,35.0000,0.0000,0.0000,0.0000,111.6443,7.6119,0.0000,0.0000
32,MALA ESPORTIVA 30L DOBRÁVEL TUBO VIOLETA,Acessórios,Bolsas,https://decathlonpro.vteximg.com.br/arquivos/ids/2290108-1000-1000/foldable-fitness-bag-30l-burgun-no-size1.jpg?v=636879951358900000,14.9900,49.9900,22.0000,25.0000,196.0000,2.1778,90,Estoque Seguro,0.0000,1.1364,SAUDÁVEL,35.0000,0.0000,0.0000,0.0000,108.8671,11.4796,0.0000,0.0000
2,AGASALHO MENINO GINÁSTICA,Roupas,Agasalhos,https://decathlonpro.vteximg.com.br/arquivos/ids/2432230-1000-1000/gym-y-s500-tb-b-tracksu-141-150cm10-11y1.jpg?v=637082332542900000,20.9900,69.9900,9.0000,9.0000,129.0000,1.4333,90,Estoque Seguro,0.0000,1.0000,SAUDÁVEL,49.0000,0.0000,0.0000,0.0000,100.3190,6.2791,0.0000,0.0000
29,LUVAS ACADEMIA MUSCULAÇÃO NEOPRENE (O PAR),Acessórios,Luvas,https://decathlonpro.vteximg.com.br/arquivos/ids/2299799-1000-1000/-luva-muscu-pto-domyos-eu-s-us-xs1.jpg?v=636885228389930000,10.4900,34.9900,101.0000,108.0000,230.0000,2.5556,90,Estoque Seguro,0.0000,1.0693,SAUDÁVEL,24.5000,0.0000,0.0000,0.0000,89.4189,42.2609,0.0000,0.0000
1,BLUSA MASCULINA GINÁSTICA,Roupas,Agasalhos,https://decathlonpro.vteximg.com.br/arquivos/ids/2334770-1000-1000/sweat-500-gym-navy-blue-2xl1.jpg?v=636916233785870000,11.9900,39.9900,78.0000,85.0000,162.0000,1.8000,90,Estoque Seguro,0.0000,1.0897,SAUDÁVEL,28.0000,0.0000,0.0000,0.0000,71.9820,47.2222,0.0000,0.0000
27,MEIA DE CORRIDA COMFORT HIGH,Calçados,Meias,https://decathlonpro.vteximg.com.br/arquivos/ids/2422736-1000-1000/-elio-high-bca-35381.jpg?v=637066830049770000,2.9900,9.9900,124.0000,130.0000,444.0000,4.9333,90,Estoque Seguro,0.0000,1.0484,SAUDÁVEL,7.0000,0.0000,0.0000,0.0000,49.2840,26.3514,0.0000,0.0000
26,MEIA DE CORRIDA COMFORT INVISIBLE KALENJI,Calçados,Meias,https://decathlonpro.vteximg.com.br/arquivos/ids/2119148-1000-1000/-comfort-invisible-bca-85-11-us9-1151.jpg?v=636689105257470000,2.9900,9.9900,395.0000,435.0000,432.0000,4.8000,90,Estoque Seguro,0.0000,1.1013,SAUDÁVEL,7.0000,0.0000,0.0000,0.0000,47.9520,90.6250,0.0000,0.0000
